muni_id,muni_name_first,precip_mean_mean,precip_mean_std,precip_min_mean,precip_max_mean,precip_std_mean,precip_anomaly_mean_mean,precip_anomaly_mean_std,precip_anomaly_min_mean,precip_anomaly_max_mean,precip_anomaly_std_mean,soil_mean_mean,soil_mean_std,soil_min_mean,soil_max_mean,soil_std_mean,soil_anomaly_mean_mean,soil_anomaly_mean_std,soil_anomaly_min_mean,soil_anomaly_max_mean,soil_anomaly_std_mean,mean_distance_to_others_first,min_distance_to_others_first,max_distance_to_others_first,centroid_lon,centroid_lat,cluster,cluster_pca,cluster_spatial,cluster_hierarchical,cluster_gmm,cluster_dbscan,cluster_agglom_spatial,muni_norm,cluster_aligned
249,Mata,4.9807916,11.689214,3.8767276,6.2766814,0.7801829,1.5708274e-08,11.482793,-1.5118599,1.6482519,0.9967736,0.41583,0.06273273,0.41217774,0.4194822,0.0036522276,-0.0014093068,0.055828042,-0.0042179325,0.0013993189,0.0028086258,2.4516876672141015,0.1819498387387335,4.662888161012956,-54.46789447512315,-29.53753741057198,6,7,3,0,3,-1,2,mata,4
250,Mato Castelhano,5.155343,11.4712305,3.8062105,6.7836328,0.9722236,1.6089338e-09,11.280767,-1.7869123,1.9827605,1.1970677,0.43247083,0.04963518,0.42979828,0.43514332,0.0026725223,-0.00026099762,0.04779201,-0.0027510475,0.0022290521,0.0024900497,1.6761032349839555,0.1597918932309387,5.510252888044386,-52.19888191295301,-28.27764631608085,1,3,4,5,1,0,7,mato castelhano,7
251,Mato Leitão,4.587977,10.269895,4.587977,4.587977,0.0,-5.165524e-09,10.095904,-5.165524e-09,-5.165524e-09,0.0,0.43101814,0.053124633,0.43101814,0.43101814,0.0,-7.78097e-05,0.049806565,-7.78097e-05,-7.78097e-05,0.0,1.6727299892751142,0.0716442954809816,5.236743621193308,-52.136173220523666,-29.5248170623034,9,1,8,1,7,-1,4,mato leitão,5
252,Mato Queimado,5.2539296,12.364949,4.5789557,5.9737635,0.6139166,1.1855302e-08,12.147832,-0.8887054,0.9164479,0.78691065,0.4147831,0.06290759,0.41222748,0.41733873,0.0025556406,-0.0017572063,0.05784206,-0.004285234,0.00077082147,0.0025280279,2.511246944911943,0.0923252041845586,5.550675852614304,-54.65656653077906,-28.243018700285827,6,7,1,0,1,0,3,mato queimado,8
253,Maximiliano de Almeida,5.0936313,11.476658,3.9554443,6.397759,0.86540884,3.8741432e-09,11.279657,-1.5052985,1.629832,1.083017,0.43124452,0.049186416,0.4268353,0.4358541,0.0038568163,-0.0005596835,0.047282245,-0.004920816,0.0038736665,0.003762729,2.1000085276095697,0.1232798399738997,6.256001513962362,-51.81545200161805,-27.603880578314964,1,3,4,5,3,0,7,maximiliano de almeida,7
254,Minas do Leão,4.1611285,9.385259,2.963758,5.6626997,0.8439367,2.6251024e-09,9.210822,-1.6246506,1.8567736,1.0483712,0.41929698,0.056982428,0.4115288,0.42803514,0.0060457424,7.152041e-05,0.049991153,-0.0074726315,0.0075989063,0.005543696,1.9273124213036272,0.1311236063052769,5.257943705161862,-52.07791461595269,-30.074723560519807,3,5,0,9,0,-1,9,minas do leão,6
255,Miraguaí,5.26388,11.674845,4.3947434,6.2025666,0.6960709,-2.6632089e-08,11.461393,-1.1267843,1.1870577,0.87436724,0.42498073,0.05368479,0.42498073,0.42498073,0.0,-0.0012276642,0.051144447,-0.0012276642,-0.0012276642,0.0,2.2513440477292224,0.090839419597918,6.17109615613551,-53.745573956460056,-27.490423004517172,6,7,1,0,1,0,3,miraguaí,3
256,Montauri,5.1403522,11.578898,4.612291,5.693584,0.4786691,1.5433063e-08,11.379526,-0.70990187,0.72285795,0.6270511,0.43382397,0.049403973,0.43382397,0.43382397,0.0,0.00015959138,0.04713199,0.00015959138,0.00015959138,0.0,1.6106373642040082,0.1065970049966808,5.4888402948563435,-52.05018857467616,-28.66982696156745,9,1,8,1,7,-1,4,montauri,7
257,Monte Alegre dos Campos,5.033211,10.8693,3.2943323,7.3425617,1.2054647,-2.0302204e-08,10.682161,-2.3401873,2.7802186,1.4655762,0.44740522,0.033519644,0.44138896,0.45274615,0.0044552456,0.00037341515,0.032560453,-0.0052007926,0.005363029,0.0041474556,2.2326967553061916,0.2947149514092139,6.689506650493571,-50.805085794529184,-28.70023000654988,8,8,6,5,5,-1,5,monte alegre dos campos,1
258,Monte Belo do Sul,4.9065113,10.863412,4.4388824,5.3741403,0.46762928,6.329884e-09,10.682517,-0.60625875,0.6062588,0.6062588,0.44520414,0.03713748,0.44520414,0.44520414,0.0,0.00072513823,0.03585781,0.00072513823,0.00072513823,0.0,1.7067057369260503,0.0636088036619264,5.772843166902254,-51.65167487242379,-29.140366363700263,9,1,8,1,7,0,4,monte belo do sul,5
